,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
12210,SIDDIQUE Diya,F,17,Bangladesh,BAN,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
3441,DWI PANGESTU Arif,M,17,Indonesia,INA,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
3442,DWI PANGESTU Arif,M,17,Indonesia,INA,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
6522,KIM Je Deok,M,17,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
6293,KAUFHOLD Casey,F,17,United States,USA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
6294,KAUFHOLD Casey,F,17,United States,USA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
427,AMAISTROAIE Madalina,F,18,Romania,ROU,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
9118,MUCINO-FERNANDEZ Jennifer,F,18,United States,USA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
9119,MUCINO-FERNANDEZ Jennifer,F,18,United States,USA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
14523,WOODGATE James,M,19,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
14524,WOODGATE James,M,19,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
10684,PRASTYADI Alviyanto,M,19,Indonesia,INA,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
10685,PRASTYADI Alviyanto,M,19,Indonesia,INA,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
957,BARANKOVA Denisa,F,19,Slovakia,SVK,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
2992,de VELASCO Ines,F,19,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
2993,de VELASCO Ines,F,19,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
2830,D'AMOUR Nicholas,M,19,Virgin Islands,ISV,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
467,AN San,F,20,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,Gold
468,AN San,F,20,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,Gold
469,AN San,F,20,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,Gold
12966,TANG Chih-Chun,M,20,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,Silver
11871,SCHWARZ Charline,F,20,Germany,GER,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,Bronze
14256,WEI Shaoxuan,M,20,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
14257,WEI Shaoxuan,M,20,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
14258,WEI Shaoxuan,M,20,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
12965,TANG Chih-Chun,M,20,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
12967,TANG Chih-Chun,M,20,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
13276,TOLBA Youssof,M,20,Egypt,EGY,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
13277,TOLBA Youssof,M,20,Egypt,EGY,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
11870,SCHWARZ Charline,F,20,Germany,GER,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
8274,MASHAYIKH Syaqiera,F,20,Malaysia,MAS,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
8275,MASHAYIKH Syaqiera,F,20,Malaysia,MAS,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
13832,VAZQUEZ Ana,F,20,Mexico,MEX,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
13833,VAZQUEZ Ana,F,20,Mexico,MEX,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
3242,DO THI ANH Nguyet,F,20,Vietnam,VIE,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
3243,DO THI ANH Nguyet,F,20,Vietnam,VIE,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
6335,KAZLOUSKAYA Karyna,F,21,Belarus,BLR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
6336,KAZLOUSKAYA Karyna,F,21,Belarus,BLR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
2985,de SMEDT Jarno,M,21,Belgium,BEL,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
14729,YANG Xiaolei,F,21,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
14730,YANG Xiaolei,F,21,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
14731,YANG Xiaolei,F,21,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
123,ACOSTA GIRALDO Valentina,F,21,Colombia,COL,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
124,ACOSTA GIRALDO Valentina,F,21,Colombia,COL,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
964,BARBELIN Lisa,F,21,France,FRA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
965,BARBELIN Lisa,F,21,France,FRA,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
917,BALOGH Matyas Laszlo,M,21,Hungary,HUN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
1722,BROEKSMA Gijs,M,21,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
1723,BROEKSMA Gijs,M,21,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
10962,RAVNIKAR Ziga,M,21,Slovenia,SLO,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
14402,WILLIAMS Jack,M,21,United States,USA,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
14403,WILLIAMS Jack,M,21,United States,USA,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
5897,JANG Minhee,F,22,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,Gold
4304,GAZOZ Mete,M,22,Turkey,TUR,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,Gold
3085,DENG Yu-Cheng,M,22,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,Silver
3084,DENG Yu-Cheng,M,22,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
12055,SHANNY Itay,M,22,Israel,ISR,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
519,ANDREOLI Tatiana,F,22,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
520,ANDREOLI Tatiana,F,22,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
14676,YAMAUCHI Azusa,F,22,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
14677,YAMAUCHI Azusa,F,22,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
14678,YAMAUCHI Azusa,F,22,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
5896,JANG Minhee,F,22,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
477,ANAGOZ Yasemin,F,22,Turkey,TUR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
478,ANAGOZ Yasemin,F,22,Turkey,TUR,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
4305,GAZOZ Mete,M,22,Turkey,TUR,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
9470,NGUYEN Hoang Phi Vu,M,22,Vietnam,VIE,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
9471,NGUYEN Hoang Phi Vu,M,22,Vietnam,VIE,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
4544,GOMBOEVA Svetlana,F,23,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,Silver
2814,D'ALMEIDA Marcus,M,23,Brazil,BRA,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
2815,D'ALMEIDA Marcus,M,23,Brazil,BRA,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
5445,HORACKOVA Marie,F,23,Czech Republic,CZE,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
2376,CHIRAULT Thomas,M,23,France,FRA,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
2377,CHIRAULT Thomas,M,23,France,FRA,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
53,ABDULLIN Ilfat,M,23,Kazakhstan,KAZ,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
54,ABDULLIN Ilfat,M,23,Kazakhstan,KAZ,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
4543,GOMBOEVA Svetlana,F,23,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
3605,ELWALID Rihab,F,23,Tunisia,TUN,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
3606,ELWALID Rihab,F,23,Tunisia,TUN,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
14369,WIJLER Steve,M,24,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,Silver
1438,BOARI Lucilla,F,24,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,Bronze
6312,KAWATA Yuki,M,24,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,Bronze
9251,MUTO Hiroki,M,24,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,Bronze
184,AGUILAR Andres,M,24,Chile,CHI,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
7727,LONG Xiaoqing,F,24,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
7728,LONG Xiaoqing,F,24,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
14124,WANG Dapeng,M,24,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
14125,WANG Dapeng,M,24,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
14559,WU Jiaxin,F,24,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
14560,WU Jiaxin,F,24,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
10511,PITMAN Bryony,F,24,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
10512,PITMAN Bryony,F,24,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
2412,CHOIRUNISA Diananda,F,24,Indonesia,INA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
2413,CHOIRUNISA Diananda,F,24,Indonesia,INA,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
1439,BOARI Lucilla,F,24,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
10982,REBAGLIATI Chiara,F,24,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
10983,REBAGLIATI Chiara,F,24,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
10984,REBAGLIATI Chiara,F,24,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
6311,KAWATA Yuki,M,24,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
9250,MUTO Hiroki,M,24,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
9252,MUTO Hiroki,M,24,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
9764,OLARU Dan,M,24,Moldova,MDA,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
9765,OLARU Dan,M,24,Moldova,MDA,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
826,BAATARKHUYAG Otgonbold,M,24,Mongolia,MGL,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
827,BAATARKHUYAG Otgonbold,M,24,Mongolia,MGL,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
14367,WIJLER Steve,M,24,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
14368,WIJLER Steve,M,24,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
15119,ZYZANSKA Sylwia,F,24,Poland,POL,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
15120,ZYZANSKA Sylwia,F,24,Poland,POL,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
2111,CASTRO Daniel,M,24,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
2112,CASTRO Daniel,M,24,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
6195,KANG Chaeyoung,F,25,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,Gold
6994,KROPPEN Michelle,F,25,Germany,GER,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,Bronze
5494,HOURTOU Marlyse,F,25,Chad,CHA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
6993,KROPPEN Michelle,F,25,Germany,GER,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
6995,KROPPEN Michelle,F,25,Germany,GER,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
5626,HUSTON Patrick,M,25,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
5627,HUSTON Patrick,M,25,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
5628,HUSTON Patrick,M,25,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
5859,JADHAV Pravin,M,25,India,IND,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
5860,JADHAV Pravin,M,25,India,IND,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
5861,JADHAV Pravin,M,25,India,IND,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
9244,MUSSAYEV Sanzhar,M,25,Kazakhstan,KAZ,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
9245,MUSSAYEV Sanzhar,M,25,Kazakhstan,KAZ,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
6194,KANG Chaeyoung,F,25,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
13632,VALENCIA Alejandra,F,26,Mexico,MEX,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,Bronze
12049,SHANA Md Ruman,M,26,Bangladesh,BAN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
12050,SHANA Md Ruman,M,26,Bangladesh,BAN,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
3452,DZIOMINSKAYA Karyna,F,26,Belarus,BLR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
3453,DZIOMINSKAYA Karyna,F,26,Belarus,BLR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
2884,DAVID Areneo,M,26,Malawi,MAW,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
13630,VALENCIA Alejandra,F,26,Mexico,MEX,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
13631,VALENCIA Alejandra,F,26,Mexico,MEX,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
13688,van den BERG Sjef,M,26,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
13689,van den BERG Sjef,M,26,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
1113,BAZARZHAPOV Galsan,M,26,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
1114,BAZARZHAPOV Galsan,M,26,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
10191,PAVLOVA Anastasiia,F,26,Ukraine,UKR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
10192,PAVLOVA Anastasiia,F,26,Ukraine,UKR,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
1758,BROWN Mackenzie,F,26,United States,USA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
1759,BROWN Mackenzie,F,26,United States,USA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
1760,BROWN Mackenzie,F,26,United States,USA,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
14253,WEI Chun-Heng,M,27,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,Silver
11798,SCHLOESSER Gabriela,F,27,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,Silver
3302,dos SANTOS Ane Marcelle,F,27,Brazil,BRA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
3303,dos SANTOS Ane Marcelle,F,27,Brazil,BRA,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
12938,TAN Ya-Ting,F,27,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
12939,TAN Ya-Ting,F,27,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,
14252,WEI Chun-Heng,M,27,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
10482,PINEDA Daniel Felipe,M,27,Colombia,COL,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
10483,PINEDA Daniel Felipe,M,27,Colombia,COL,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
10126,PARNAT Reena,F,27,Estonia,EST,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
7071,KUMARI Deepika,F,27,India,IND,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
7072,KUMARI Deepika,F,27,India,IND,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
8823,MIRCA Alexandra,F,27,Moldova,MDA,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
8824,MIRCA Alexandra,F,27,Moldova,MDA,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
11797,SCHLOESSER Gabriela,F,27,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
9915,OSIPOVA Elena,F,28,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,Silver
9916,OSIPOVA Elena,F,28,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Archery,Women's Team,Silver
5738,INGLEY Alice,F,28,Australia,AUS,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
5739,INGLEY Alice,F,28,Australia,AUS,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,
7495,LI Jialun,M,28,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,
7496,LI Jialun,M,28,China,CHN,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,
